아젠타, 테트라 주, 15610, 246870, 15.814862267777066, 83, 128, 119
테트리다모스, 테트라 주, 4004, 538756, 134.55444555444555, 116, 110, 50
츠비키, 아이리카 주, 64770, 6513084, 100.55710977304308, 8, 11, 63
하르바트, 아이리카 주, 61565, 6837747, 111.06549175667993, 10, 9, 59
테타, 테트라 주, 1139, 948012, 832.3195785776998, 130, 83, 14
아칸타, 테트라 주, 13030, 360397, 27.659017651573294, 91, 117, 101
메르네, 아이리카 주, 47346, 12595416, 266.0291471296414, 24, 4, 33
리에다, 미네바 주, 17833, 945311, 53.00908428194919, 74, 84, 84
테트리비제모스, 테트라 주, 6028, 354321, 58.77919708029197, 108, 119, 78
파르티엔타, 테트라 주, 14983, 342456, 22.856303810985782, 85, 122, 108
아이리카, 아이리카 주, 59364, 34251427, 576.9730307930732, 13, 1, 18
마링고, 바니카-메고차 주, 35353, 167891, 4.748988770401381, 36, 134, 132
미바나, 미네바 주, 8748, 2573904, 294.22770919067216, 96, 40, 30
에디아다, 미네바 주, 30323, 548009, 18.072387296771428, 45, 108, 115
미에고, 바니카-메고차 주, 2360, 1161469, 492.1478813559322, 122, 73, 21
솔바, 미네바 주, 1386, 3171321, 2288.1103896103896, 128, 33, 5
이벤토, 바니카-메고차 주, 54726, 231480, 4.229799364104813, 18, 130, 134
유칸타, 테트라 주, 13125, 380445, 28.986285714285714, 90, 114, 100
메고리, 바니카-메고차 주, 34012, 216789, 6.373897447959544, 38, 131, 131
아바나, 미네바 주, 3786, 2249110, 594.0596936080295, 118, 47, 16
아브레, 아이리카 주, 34582, 6351850, 183.67503325429414, 37, 14, 41
민마나, 미네바 주, 2734, 1585675, 579.9835405998537, 120, 60, 17
민고, 바니카-메고차 주, 56790, 267333, 4.707395668251452, 16, 127, 133
모에바, 미네바 주, 12252, 1448183, 118.19972249428665, 94, 65, 55
유프란, 미치바 주, 50235, 210355, 4.187419130088584, 21, 132, 135
바니아, 바니카-메고차 주, 19364, 204567, 10.564294567238173, 67, 133, 125
코에가, 미네바 주, 7337, 2767890, 377.25091999454816, 103, 36, 25
메가, 미네바 주, 4161, 1581238, 380.0139389569815, 115, 61, 24
만토, 미네바 주, 560, 1065853, 1903.3089285714286, 135, 79, 7
피에트라, 아이리카 주, 73821, 9553084, 129.40875902520963, 6, 8, 53
아리나, 미네바 주, 1631, 1491306, 914.3507050889025, 127, 63, 12
미츠비, 미치바 주, 1704, 4984629, 2925.2517605633802, 125, 19, 2
미치바, 미치바 주, 8791, 2331284, 265.1898532590149, 95, 45, 34
나릴로, 미치바 주, 41071, 801653, 19.518711499598258, 29, 91, 112
아신가, 안텐시 주, 28959, 1630567, 56.306053385821336, 47, 58, 82
베아골, 세그레차 주, 46999, 456789, 9.719121683440074, 25, 112, 127
미느리오, 하파차 주, 63404, 3855486, 60.808245536559205, 9, 25, 76
산시아고, 미치바 주, 37427, 867810, 23.18673684773025, 33, 88, 107
키골, 세그레차 주, 7829, 644226, 82.28713756546175, 99, 100, 68
세골, 세그레차 주, 2633, 934813, 355.0372199012533, 121, 86, 27
페아골, 세그레차 주, 15326, 754183, 49.20938274827091, 84, 94, 88
메초오비카, 아이리카 주, 96232, 17570738, 182.5872682683515, 4, 2, 43
리에골, 세그레차 주, 49150, 356178, 7.2467548321464905, 22, 118, 130
시세디, 안텐시 주, 5867, 3377913, 575.7479120504516, 109, 31, 19
오고이모, 하파차 주, 110187, 3640649, 33.040640002904155, 2, 26, 97
키르가, 안텐시 주, 71130, 3612571, 50.788289048221564, 7, 27, 85
오브니, 도마니 주, 19049, 3967305, 208.26841304005458, 70, 23, 38
우프레나, 미치바 주, 25774, 2457032, 95.32986730813998, 52, 43, 66
비에노, 안텐시 주, 54822, 1380888, 25.18857393017402, 17, 66, 103
미골, 세그레차 주, 8397, 592467, 70.55698463737049, 97, 103, 72
메링골, 세그레차 주, 19423, 367338, 18.912526386243115, 65, 116, 113
알고, 미치바 주, 31745, 632560, 19.92628760434714, 41, 102, 111
메즈노, 안텐시 주, 47463, 1235958, 26.04045256304911, 23, 71, 102
메고이오, 미치바 주, 39435, 842567, 21.36596931659693, 31, 90, 110
키에오, 그미즈리 주, 31075, 3549109, 114.21106999195494, 43, 28, 57
티레니오, 하파차 주, 60705, 13159813, 216.78301622601103, 12, 3, 37
파시벤토, 하파차 주, 112034, 6367660, 56.83685309816663, 1, 12, 80
하롱골, 세그레차 주, 37143, 367890, 9.904692674258945, 35, 115, 126
케릴티, 도마니 주, 30109, 1473010, 48.92258128798698, 46, 64, 89
아스타나, 하파차 주, 22520, 10465110, 464.70293072824154, 59, 6, 22
바스바드, 도마니 주, 40647, 2676893, 65.85708662385908, 30, 39, 74
민마, 베고차 주, 2296, 3965915, 1727.3148954703834, 123, 24, 8
모반토, 베고차 주, 19190, 2832567, 147.60640958832727, 69, 35, 47
아핀고, 안텐시 주, 44648, 1048183, 23.476594696290988, 27, 82, 106
모베이, 베고차 주, 26097, 1319494, 50.56113729547457, 50, 69, 87
미톤노, 그미즈리 주, 22755, 5054321, 222.11913865084597, 58, 18, 36
테안타, 베고차 주, 877, 2731852, 3114.9965792474345, 132, 37, 1
에링고, 도마니 주, 5505, 5140468, 933.7816530426885, 111, 17, 11
가안, 도마니 주, 2183, 2450110, 1122.3591387998167, 124, 44, 10
메깅고, 그미즈리 주, 16524, 5168147, 312.7660977971436, 82, 16, 29
그미즈리, 그미즈리 주, 7156, 12085184, 1688.8183342649525, 104, 5, 9
메옹, 도마니 주, 646, 546281, 845.6362229102167, 134, 109, 13
호오토, 그미즈리 주, 25742, 4954321, 192.46060912128038, 53, 20, 39
브고홀, 도마니 주, 16647, 843210, 50.65236979635971, 81, 89, 86
리안토, 베고차 주, 23923, 1666890, 69.67729799774276, 55, 57, 73
산세오, 하파차 주, 57483, 9604567, 167.0853469721483, 14, 7, 46
오고소, 베고차 주, 16726, 2169613, 129.71499461915582, 80, 48, 52
트롱페이, 베고차 주, 21503, 1145019, 53.24926754406362, 61, 75, 83
바티아, 베고차 주, 1130, 2948395, 2609.1991150442477, 131, 34, 3
모호보드, 안텐시 주, 85052, 709112, 8.33739359450689, 5, 97, 129
오크모, 그미즈리 주, 33745, 6354041, 188.2957771521707, 39, 13, 40
이베이, 베고차 주, 18482, 1049483, 56.78406016664863, 72, 81, 81
페린, 베고차 주, 17663, 1783819, 100.99184736454735, 76, 56, 62
아센시, 그미즈리 주, 18170, 4596287, 252.96020913593836, 73, 21, 35
모옹홀, 도마니 주, 13621, 550783, 40.43631157771089, 88, 107, 93
메고기, 도마니 주, 24440, 1053931, 43.12319967266776, 54, 80, 92
페아그, 그미즈리 주, 22777, 6654381, 292.1535320718268, 57, 10, 31
파미즈, 림덴시 주, 20188, 2730301, 135.24375866851594, 64, 38, 49
커피, 도마니 주, 22279, 1869303, 83.90425961667938, 60, 54, 67
펜보드, 림덴시 주, 25812, 1150321, 44.565357198202385, 51, 74, 91
스피가, 림덴시 주, 17773, 2019239, 113.61272717042705, 75, 52, 58
아르고, 림덴시 주, 5354, 2479408, 463.0945087784834, 112, 42, 23
모호카, 림덴시 주, 39070, 340139, 8.705886869721013, 32, 124, 128
하싱고, 하파차 주, 61294, 5967177, 97.35336248246158, 11, 15, 65
즈조이, 도마니 주, 21355, 685838, 32.11603839850152, 62, 98, 98
아린키고, 하파차 주, 104498, 2557860, 24.477597657371433, 3, 41, 104
모리고, 림덴시 주, 5766, 2054321, 356.28182448838015, 110, 51, 26
비엥고, 하파차 주, 52859, 4301297, 81.37303013677898, 19, 22, 69
메바치, 림덴시 주, 18934, 2310012, 122.00338016267033, 71, 46, 54
레링가, 베고차 주, 6712, 1232567, 183.63632300357568, 106, 72, 42
린토카, 림덴시 주, 31773, 495485, 15.594529946810185, 40, 111, 120
메르노, 그라나데 주, 22995, 304940, 13.261143726897151, 56, 126, 122
라토카, 림덴시 주, 31120, 349409, 11.22779562982005, 42, 120, 124
안트로아싱가, 카리아-로 주, 7080, 3490123, 492.9552259887006, 105, 29, 20
낙소, 림덴시 주, 20361, 2161201, 106.14414812631992, 63, 49, 61
모잉고, 하파차 주, 51149, 3243210, 63.40710473323037, 20, 32, 75
보어, 림덴시 주, 14841, 434428, 29.272151472272757, 87, 113, 99
보빈, 림덴시 주, 12440, 1621567, 130.35104501607717, 93, 59, 51
보피노, 그라나데 주, 19203, 231938, 12.078216945268968, 68, 129, 123
세오고, 림덴시 주, 13288, 1854321, 139.54854003612283, 89, 55, 48
안트리포어, 포어 주, 16728, 579103, 34.61878287900526, 79, 105, 96
시안, 림덴시 주, 12778, 752274, 58.872593520112694, 92, 95, 77
하르고, 하파차 주, 4685, 341036, 72.7931696905016, 114, 123, 71
피고모싱고메고차바데다, 카리아-로 주, 41301, 1871401, 45.311275756034966, 28, 53, 90
노베라니나, 카리아-로 주, 1153, 871901, 756.2020815264527, 129, 87, 15
라간, 포어 주, 3787, 639914, 168.97649854766306, 117, 101, 45
미베이토메고차피덴타, 카리아-로 주, 57100, 1367860, 23.95551663747811, 15, 67, 105
안파, 포어 주, 8036, 935869, 116.45955699352912, 98, 85, 56
아르테, 포어 주, 871, 2150499, 2469.0, 133, 50, 4
세가, 포어 주, 3503, 1140691, 325.6326006280331, 119, 76, 28
페카그라나다, 그라나데 주, 19377, 345938, 17.853021623574342, 66, 121, 116
아르모텐타, 카리아-로 주, 26913, 1566108, 58.19150596366068, 48, 62, 79
테사, 포어 주, 4973, 1345411, 270.5431329177559, 113, 68, 32
그라나다, 그라나데 주, 6241, 1084631, 173.79121935587244, 107, 78, 44
오르도기, 포어 주, 7727, 761932, 98.60644493335059, 100, 93, 64
메네트리포어, 포어 주, 46344, 741317, 15.995964957707578, 26, 96, 118
안파키, 그라나데 주, 7720, 118591, 15.361528497409326, 101, 135, 121
아파그라나다, 그라나데 주, 17588, 319483, 18.164828292017283, 77, 125, 114
안파기, 메세기 주, 37367, 651835, 17.44413519950759, 34, 99, 117
나다이, 메세기 주, 7343, 784184, 106.79340868854692, 102, 92, 60
크라나, 메세기 주, 14967, 559913, 37.40983497026792, 86, 106, 94
크레이, 메세기 주, 16987, 1259311, 74.13380820627539, 78, 70, 70
포크란, 메세기 주, 1704, 3484815, 2045.0792253521126, 126, 30, 6
옹피오, 메세기 주, 26655, 585509, 21.96619771149878, 49, 104, 109
메세기, 메세기 주, 30948, 1096380, 35.42652190771617, 44, 77, 95
